date,lat,lon,sst
2026-05-06,-6.000,58.000,29.318
2026-05-06,-6.000,59.000,29.259
2026-05-06,-6.000,60.000,29.351
2026-05-06,-6.000,61.000,29.412
2026-05-06,-6.000,62.000,29.578
2026-05-06,-6.000,63.000,29.694
2026-05-06,-6.000,64.000,29.826
2026-05-06,-6.000,65.000,29.811
2026-05-06,-6.000,66.000,29.937
2026-05-06,-6.000,67.000,29.948
2026-05-06,-6.000,68.000,29.906
2026-05-06,-6.000,69.000,30.052
2026-05-06,-6.000,70.000,30.031
2026-05-06,-6.000,71.000,30.014
2026-05-06,-6.000,72.000,29.994
2026-05-06,-6.000,73.000,29.918
2026-05-06,-6.000,74.000,29.916
2026-05-06,-6.000,75.000,29.926
2026-05-06,-6.000,76.000,29.944
2026-05-06,-6.000,77.000,30.062
2026-05-06,-6.000,78.000,30.152
2026-05-06,-6.000,79.000,30.211
2026-05-06,-6.000,80.000,30.106
2026-05-06,-6.000,81.000,30.169
2026-05-06,-6.000,82.000,30.166
2026-05-06,-6.000,83.000,30.251
2026-05-06,-6.000,84.000,30.388
2026-05-06,-6.000,85.000,30.220
2026-05-06,-6.000,86.000,29.549
2026-05-06,-6.000,87.000,29.452
2026-05-06,-6.000,88.000,30.730
2026-05-06,-6.000,89.000,30.570
2026-05-06,-6.000,90.000,30.173
2026-05-06,-6.000,91.000,30.128
2026-05-06,-6.000,92.000,30.004
2026-05-06,-6.000,93.000,30.003
2026-05-06,-6.000,94.000,29.896
2026-05-06,-6.000,95.000,29.961
2026-05-06,-6.000,96.000,30.298
2026-05-06,-6.000,97.000,30.416
2026-05-06,-6.000,98.000,30.497
2026-05-06,-6.000,99.000,30.501
2026-05-06,-6.000,100.000,30.358
2026-05-06,-6.000,101.000,29.930
2026-05-06,-6.000,102.000,29.918
2026-05-06,-6.000,103.000,30.196
2026-05-06,-6.000,104.000,30.094
2026-05-06,-6.000,105.000,30.207
2026-05-06,-6.000,106.000,30.200
2026-05-06,-6.000,107.000,30.251
2026-05-06,-6.000,108.000,30.050
2026-05-06,-6.000,109.000,29.984
2026-05-06,-6.000,110.000,29.860
2026-05-06,-6.000,111.000,29.792
2026-05-06,-6.000,112.000,29.859
2026-05-06,-6.000,113.000,29.842
2026-05-06,-6.000,114.000,29.811
2026-05-06,-6.000,115.000,29.817
2026-05-06,-6.000,116.000,29.802
2026-05-06,-6.000,117.000,29.610
2026-05-06,-6.000,118.000,29.459
2026-05-06,-6.000,119.000,29.121
2026-05-06,-6.000,120.000,28.841
2026-05-06,-6.000,121.000,29.464
2026-05-06,-6.000,122.000,29.514
2026-05-06,-6.000,123.000,29.179
2026-05-06,-6.000,124.000,29.019
2026-05-06,-6.000,125.000,29.109
2026-05-06,-6.000,126.000,29.039
2026-05-06,-6.000,127.000,28.958
2026-05-06,-6.000,128.000,28.952
2026-05-06,-6.000,129.000,29.092
2026-05-06,-6.000,130.000,29.024
2026-05-06,-6.000,131.000,28.811
2026-05-06,-6.000,132.000,28.863
2026-05-06,-6.000,133.000,28.921
2026-05-06,-6.000,134.000,28.759
2026-05-06,-6.000,135.000,28.508
2026-05-06,-6.000,136.000,28.732
2026-05-06,-6.000,137.000,29.058
2026-05-06,-6.000,138.000,29.274
2026-05-06,-6.000,146.000,29.600
2026-05-06,-6.000,147.000,29.430
2026-05-06,-6.000,148.000,29.261
2026-05-06,-6.000,149.000,29.158
2026-05-06,-6.000,150.000,29.147
2026-05-06,-6.000,151.000,29.217
2026-05-06,-6.000,152.000,29.368
2026-05-06,-6.000,153.000,29.259
2026-05-06,-6.000,154.000,29.326
2026-05-06,-6.000,155.000,29.373
2026-05-06,-6.000,156.000,29.796
2026-05-06,-6.000,157.000,29.925
2026-05-06,-6.000,158.000,29.805
2026-05-06,-6.000,159.000,29.934
2026-05-06,-6.000,160.000,30.083
2026-05-06,-6.000,161.000,30.204
2026-05-06,-6.000,162.000,30.307
2026-05-06,-6.000,163.000,30.292
2026-05-06,-6.000,164.000,30.296
2026-05-06,-6.000,165.000,30.358
2026-05-06,-6.000,166.000,30.227
2026-05-06,-6.000,167.000,29.838
2026-05-06,-6.000,168.000,29.944
2026-05-06,-6.000,169.000,29.973
2026-05-06,-6.000,170.000,30.362
2026-05-06,-6.000,171.000,30.434
2026-05-06,-6.000,172.000,30.356
2026-05-06,-6.000,173.000,30.257
2026-05-06,-6.000,174.000,30.249
2026-05-06,-6.000,175.000,30.363
2026-05-06,-6.000,176.000,30.319
2026-05-06,-6.000,177.000,30.323
2026-05-06,-6.000,178.000,30.344
2026-05-06,-6.000,179.000,30.329
2026-05-06,-6.000,180.000,30.366
2026-05-06,-5.000,39.000,29.055
2026-05-06,-5.000,40.000,29.096
2026-05-06,-5.000,41.000,29.132
2026-05-06,-5.000,42.000,29.206
2026-05-06,-5.000,43.000,29.079
2026-05-06,-5.000,44.000,28.972
